title,location,price,bedrooms,description
3 Marla Residential Plot - City Life Homes,"3-KM Link Bedian Road, Sua Asal, Main Ferozpur Road, Lahore",1800000,0,"3 Marla residential plot in City Life Homes with 4-year easy payment plan. Down payment: PKR 600,000 | Monthly installment: PKR 25,000 | Total price: PKR 1,800,000. Registry/Intiqal prominent. Possession at 50% payment, plots available on ground. Extra premiums: 10% on corner plot, 15% on corner + facing park, 10% on 40ft+ wide road, 20% on corner + facing park + 40ft+ road. 10% discount on full cash payment. Facilities: Grand Mosque, School, Gas, Security, Public Park, Electricity. A project by City Life Holdings Pvt. Ltd. Contact: 0303-3233888."
5 Marla Residential Plot - City Life Homes,"3-KM Link Bedian Road, Sua Asal, Main Ferozpur Road, Lahore",2750000,0,"5 Marla residential plot in City Life Homes with 4-year easy payment plan. Down payment: PKR 1,000,000 | Monthly installment: PKR 35,000 | Total price: PKR 2,750,000. Registry/Intiqal prominent. Possession at 50% payment, plots available on ground. Extra premiums: 10% on corner plot, 15% on corner + facing park, 10% on 40ft+ wide road, 20% on corner + facing park + 40ft+ road. 10% discount on full cash payment. Facilities: Grand Mosque, School, Gas, Security, Public Park, Electricity. A project by City Life Holdings Pvt. Ltd. Contact: 0303-3233888."
